281dca1ee3c8068a1nd42ty1FVFT,8DqkLzZb8SM.search.1,"
                1、负责公司来访人员的接待以及电话转接，快递收发等；2、负责办公用品的采买与登记出入库的工作；保管和定期统计固定资产，与财务定期核对；3、配合人事部做好考勤统计工作；4、员工周年庆活，员工生日，节日庆祝等的团建活动策划，礼品采购；5、负责日常收支的管理和核对，做到日清月结；定期核对现金及银行日记账与总账，保证账实相符；6、负责收集和审核原始凭证，保证报销手续及原始单据的合法性、准确性；7、负责记账凭证的编号、装订；保存、归档财务相关资料；负责各部门合同管理与归档工作；8、负责开具各项票据；
            "
ec68488282c54ee51nx43dW9F1pW,8DqkLzZb8SM.search.2,"
                岗位内容：1、负责部门内部日常办公秩序的开展，指导、协调、监督下属工作；2、负责销售部人员的招聘、筛选、面试，以及提请解聘不合格员工；3、负责公司的行政后勤、公司资产管理、办公用品采购申领的管理工作；4、负责公司各项规章制度的推行，执行与追综；5、负责对公司突发事件的处理工作，协助公司处理各项突发事件。岗位要求：1、形象端正，有亲和力；2、中专及以上学历，学习和抗压能力强；3、工作细致认真，谨慎细心，责任心强；4、具有很强的人际沟通、协调能力，团队意识。上六休一，固定周日休息
            "
435e98d637ba6c591n1609m0FVBV,8DqkLzZb8SM.search.3,"
                工作职责：1、接待来访家长，对其进行报名咨询服务及业务指导；2、为家长办理报名缴费手续；负责收费、结账，做好现金管理；3、学员上课签到，缺席学员电话回访；4、维持学员秩序，注意学员安全，严禁学员自行离开学校；5、总机来电接听，各部门电话转接；6、接收和分送传真，协助发送传真；7、公司各类信函、办公用品的登记、分发等服务工作；8、协助办公设备及学校环境的维持及维护；9、饮用水定时检查和安排送水；10、完成上级交待的其他工作工作时间：周三至周五 12:30a.m-9:00p.m周六周日:8:30a.m-6:30p.m周一~周二休假，国定假日休假
            "
f1778ec1eb905efe0nZz2925EVI~,8DqkLzZb8SM.search.4,"
                岗位职责：1、执行快递收发2、执行名片申印管理3、执行办公设备报修4、执行办公用品采购、发放登记以及办公用品月度盘点费用结算​5、执行新进人员套件制作岗位要求：1、形象良好、口齿清晰、稳定性强优先考虑2、做过前台货办公室行政等后勤服务工作职位招聘1人
            "
849269b84b5c6eea1nN62Ny_F1VY,8DqkLzZb8SM.search.5,"
                宝儿，如果你是一个有责任心的人，如果你热爱工作，如果你愿意和公司共同发展，如果你不拘小节，赶紧加入我们吧！主要负责：1.门店事物日常管理2.业务数据整合，报表整理3.行政助理4.公司大会筹办参与5.人事招募，招募员工满15天奖金1000元每人！月入上万很轻松！我们需要有责任心的你，我们非常看中后台的支持，所以奖金是认真的！！底薪4200＋0－2000绩效奖金（奖金根据每月贡献度发放）
            "
72b498aef29a14af1nVz39y5E1JX,8DqkLzZb8SM.search.6,"
                岗位职责：行政:1、负责办公室日常办公制度维护、管理。2、负责办公室各部门和各办事处办公后勤保障工作。3、负责公司行政类采购事宜。4、负责公司内部资产管理。5、组织公司内部各项定期和不定期会议活动。6、负责组织企业文化建设工作，包括公司庆典、年会安排、会务组织、文体活动安排等。任职要求：1、专科及以上学历;2、有2年以_上相关工作经验，熟悉基本办公软件的操作;3、具有较强的服务意识与领悟力，以及较强的文字组织能力，工作谨慎细心，责任心强;4、具备解决问题的能力、独立工作能力、和较好的执行力;5、吃苦耐劳，能承受一定工作压力，富团队协作精神;
            "
fb5c9e51905144161nB90967EltU,8DqkLzZb8SM.search.7,"
                1、负责招聘等人事工作，应聘人员的筛选、预约、接待及面试等；2、办理员工的入职、离职、转正、调整等工作；3、负责员工的考勤、绩效考核统计及相关工作；4、建立、保管和维护员工的人事档案资料；5、负责组织公司文体活动，包括团建活动等安排；6、负责公司各部门的行政后勤相关工作任职要求：1、本科及以上学历，1-2年相关工作经验，人力资源相关专业优先；2、熟悉人力资源六大模块内容，擅长招聘；3、工作积极，有较强的责任心、执行力强；4、熟练office办公软件操作，有一定的书面、口头表达能力，具有良好的亲和力和服务意识。
            "
a6c4aa99f3f5bf4e0HV72Nq-ElM~,8DqkLzZb8SM.search.8,"
                职责描述：1.负责合同打印、整理、快递事务。2.负责前台访客接待和行政后勤保障相关事宜。3.协助入职离职手续办理。4.协助员工活动的办理。5.根据领导安排，完成其他工作。任职要求：1.一周需出勤5天。2.做事积极主动，沟通能力强，性格外向。3.工作严谨认真，执行力强，且具备极强的服务意识与责任感，具备一定的抗压力。
            "
c650bd61301aaecc1nxy39y1EVdU,8DqkLzZb8SM.search.9,"
                1、接转电话，收发快递、信件，接待来访客人；2、文档资料整理存放，通知发放；3、协助完成办公资产、办公用品与杂物的采购、维护、整理和管理；4、维护公司日常办公秩序和办公环境整洁；5、及时维护员工花名册，安排好员工生日福利；6、每月负责审核快递公司运费并完成结算；7、与财务对接，开票并提供相应所需数据；8、完成上级领导交派的其他随机事务。任职要求：1、 大专学历以上，具有1年以上财务或行政相关工作经验或相关知识优先；2、 对数字具有一定的敏感度，熟练运用excel报表等办公软件；3、 工作认真仔细，执行力强，有良好的沟通协调能力；4、 责任心强，思路清晰；
            "
cd0f19baadfcd6cc1nZ83966FlVW,8DqkLzZb8SM.search.10,"
                1、认真执行上级领导的工作指令，全面负责工厂的工程部、库房、职工餐厅等后勤工作。2、制定工程部的组织结构和管理运行模式，使其快捷合理，并能有效的保障工厂设备设施安全正常的运行。3、总结和归纳运行维修实践，制定和审定设备设施及建筑预防性维修计划，更新改造计划并督促执行，保证工厂设施不断的完善，始终处于正常完好状态。4、负责工程部的节支，控制所有水、电、煤、等的消耗并严格控制维修费用，保证最大限度的节能节支。5、建设完整的设施设备技术档案、维修档案及消防安全工作。6、定期盘点库房，做好库房的消防安全工作。保证一切食品安全贮藏，设备的安全使用，整齐清洁，能源安全关闭。7、制定本部门的培训计划、培训员工正确的使用化学洗涤和清洁设备8、完成上级交待的其它任务。职位招聘1人
            "
d891496f672911d01nN639y0ElFW,8DqkLzZb8SM.search.11,"
                1、负责网点现场人员招聘实施及入职办理操作；2、负责员工事务调动、离职、社保考勤以及劳动合同续签等基础性事务工作；3、负责网点物资需求提交申领、物资定期盘点、异常资产及闲置上报清理工作；4、负责网点物业安全维保、水电费用报销、场地租赁洽谈及场地安全排查异常及时上报整改；5、负责网点行政涉及后勤宽带、直饮机、名片以及SIM卡基础事务性工作；6、协助分部负责人按需开展团队活动及组织月度座谈会，营造积极向上的工作氛围；7、协助分部负责人定期召开分部大会或分部管理例会并按需完成相关会议记要；8、协助分部推动专项6S标准化及员工宿舍现场巡查；9、主动收集和关注网点需求，异常问题和突发事件，协调资源推动问题解决，实现闭环；10、协助相关部门通过线上线下渠道，向网点传达所需学习和掌握的最新政策、制度、规范及要求；11、服从安排，协助完成上级交办的其他工作。要求：1、统招大专以上学历，28岁以下；2、抗压能力较好；3、沟通表达顺畅；4、情商高，工作稳定；此岗位可就近分配
            "
61393d15966b9cfc1nFy3Nq5EVpX,8DqkLzZb8SM.search.12,"
                主要工作内容:1、负责公司来客来访接待及电话接听；2、负责筛选简历，通知应聘人面试并接待，完成各类应聘人填写的测试表统计工作；3、公司活动组织协助，各类会议后勤安排；4、其他行政人事类工作或上级领导布置的其他工作。
            "
